gen_key,location,text,index,detail
remind-1,content,"얼마 남지 않은 혜택!

고객님, 혜택이 이제 얼마 남지 않았어요.
기간 내에 잊지말고 꼭 사용해보세요♡",remind,
remind-2,content,"혜택 소멸 예정 안내

{{고객명}}고객님,
보유하신 혜택이 소멸될 예정입니다.
얼마 남지 않았어요!
지금 바로 확인해보세요!",remind,
remind-3,content,"당첨 혜택 기간 만료 예정

고객님께 발급된 혜택이 곧 소멸 예정입니다.
기간 내에 꼭 확인하세요~",remind,
remind-4,content,"기간 임박!

고객님~ 보유하신 혜택의 기간이 얼마 남지 않았습니다.
기간 내에 사용해보세요♡",remind,
remind-5,content,"혜택이 얼마 남지 않았어요

{{고객명}}고객님,
보내드린 혜택이 이제 곧 만료됩니다.
깜짝 혜택, 놓치지 마세요!",remind,
content-lc-1,content,"{mall_id}와 함께하는 자연 산책

가벼운 산책을 즐길 수 있는 코스를 준비했어요.
아래에서 추천 콘텐츠를 확인해보세요~♡",contents_only,lifestyle_casual
content-lc-2,content,"캐쥬얼 여행 with {mall_id}

어디든 떠나고 싶은 욕구가 생긴다면?
가까운 곳으로의 여행으로 꽤나 특별한 하루가 될 수 있어요.

행복한 일상을 항상 응원합니다♡",contents_only,lifestyle_casual
content-lc-3,content,"NEPA와 가벼운 여행해요!

잠시 일상으로부터 벗어나 가벼운 여행을 해보세요.
친구 또는 가족과 함께 특별한 순간이 될거에요.

아래 링크를 클릭해서 즐거운 계획을 시작해보세요!",contents_only,lifestyle_casual
content-lc-4,content,"네파와 함께하는 캐쥬얼 여행

일상을 떠나 가벼운 여행을 해보는 건 어떠세요?

아래 링크에서 네파가 준비한 자연의 이야기를 만나보세요.",contents_only,lifestyle_casual
content-lc-5,content,"네파가 들려주는 산책 이야기

네파와 함께 근교로 산책 어떠세요?
자연을 만끽하며 일상의 스트레스를 날려보세요!

아래 링크를 확인해보세요!",contents_only,lifestyle_casual
content-ea-1,content,"네파의 자연 운동 코스

자연에서의 모험이 여러분을 기다리고 있어요!

네파가 준비한 힐링 장소를 확인하시고,
새로운 경험을 찾아 떠나요!",contents_only,easy_trekking&athleisure
content-ea-2,content,"네파의 자연 운동 코스

가벼운 등산을 즐기시나요?
자연으로 뛰어들어 건강과 기분 전환을 한 번에 챙겨보세요.
자연의 아름다움이 그 곳에 있답니다!",contents_only,easy_trekking&athleisure
content-ea-3,content,"자연도 즐기고, 운동도 하고!

네파와 함께 자연 속에서 움직여보세요!

보내드린 추천 코스 확인하시고,
나만의 모험을 시작해보세요!",contents_only,easy_trekking&athleisure
content-ea-4,content,"네파와 함께하는 트레킹 모험

이번 주말엔 등산 어떠세요?

네파가 보내드린 추천 코스 확인하시고,
산과 자연이 주는 특별한 에너지를 직접 느껴보세요.",contents_only,easy_trekking&athleisure
content-ea-5,content,"네파와 가벼운 트레킹 GO!

지치는 일상, 소소한 행복을 찾아보세요!
자연에서 즐기는 가벼운 트레킹으로 가볍게 땀을 흘려보세요.

당신의 모험을 네파가 응원해요.",contents_only,easy_trekking&athleisure
