location,gen_key,index,detail,text,rep_nm,rec_exp
main,main-whi01,whi,공통,휘슬링 소재로 최상의 쿠셔닝을 구현한 휘슬라이저,WHISTLIZER SHOES,
main,main-whi02,whi,공통,"ALL-WAYS 하이킹화, 휘슬라이저",WHISTLIZER SHOES,
main,main-whi03,whi,공통,신었다 벗었다 너무 편한 네파 휘슬라이저,WHISTLIZER SHOES,
main,main-whi04,whi,공통,"가볍고 쿠션감이 좋은 하이킹화, 휘슬라이저",WHISTLIZER SHOES,
main,main-whi05,whi,공통,"사계절용 하이킹화의 선두주자, 휘슬라이저",WHISTLIZER SHOES,
main,main-whi06,whi,공통,새로나온 휘슬라이저를 만나보세요!,WHISTLIZER SHOES,
main,main-whi07,whi,공통,당신의 발을 위한 혁신! 휘슬라이저,WHISTLIZER SHOES,
main,main-whi08,whi,공통,모든 길이 편안해진다! NEPA 휘슬라이저,WHISTLIZER SHOES,
main,main-whi09,whi,공통,"매일이 편안한 하이킹화, 휘슬라이저",WHISTLIZER SHOES,
main,main-whi10,whi,공통,"일상과 아웃도어의 완벽한 동반자, 휘슬라이저 출시",WHISTLIZER SHOES,
main,main-whc01,whc,lifestyle_casual,일상에도 잘 어울리는 네파 휘슬라이저 고어텍스,WHISTLIZER SHOES,lifestyle_casual
main,main-whc02,whc,lifestyle_casual,"일상 생활에서도 많이 신게 되는 트레킹화, 휘슬라이저",WHISTLIZER SHOES,lifestyle_casual
main,main-whc03,whc,lifestyle_casual,스타일과 편안함을 모두 잡은 휘슬라이저,WHISTLIZER SHOES,lifestyle_casual
main,main-whc04,whc,lifestyle_casual,"코디해서 신기 좋은 트레킹화, 휘슬라이저",WHISTLIZER SHOES,lifestyle_casual
main,main-whc05,whc,lifestyle_casual,"트레킹화의 캐주얼화, 네파 휘슬라이저",WHISTLIZER SHOES,lifestyle_casual
main,main-whc06,whc,lifestyle_casual,"하루 종일 편안한 휘슬라이저, 지금 만나보세요!",WHISTLIZER SHOES,lifestyle_casual
